CurrentTime,PointerOrigin,PointerDirection,HeadOrigin,HeadDirection,RayCollidePosition,MouseOverObjectType,MouseOverAIO_ID
07/14/2021 11:47:50,"(0.000, 0.000, 0.000)","(0.000, 0.000, 1.000)","(0.000, 0.000, 0.000)","(0.000, 0.000, 1.000)","(0.000, 0.000, 0.000)",AIO Card,2
07/14/2021 11:47:52,"(0.188, -0.113, 0.169)","(0.012, 0.264, 0.964)","(0.080, 0.140, -0.098)","(-0.162, 0.276, 0.947)",,,0
07/14/2021 11:47:53,"(0.192, -0.121, 0.177)","(-0.040, 0.237, 0.971)","(0.090, 0.141, -0.096)","(-0.026, 0.287, 0.958)","(-0.061, 1.298, 5.980)",AIO Card,0
07/14/2021 11:47:54,"(0.214, -0.107, 0.172)","(0.141, 0.344, 0.928)","(0.092, 0.140, -0.094)","(-0.018, 0.279, 0.960)",,,
07/14/2021 11:47:55,"(0.261, -0.106, 0.183)","(0.408, 0.292, 0.865)","(0.098, 0.141, -0.094)","(0.055, 0.293, 0.955)",,,
07/14/2021 11:47:56,"(0.256, -0.129, 0.200)","(0.302, 0.101, 0.948)","(0.098, 0.150, -0.102)","(0.119, 0.408, 0.905)",,,
07/14/2021 11:47:57,"(0.200, -0.130, 0.188)","(-0.046, 0.208, 0.977)","(0.096, 0.145, -0.097)","(0.063, 0.343, 0.937)","(-0.051, 1.097, 5.980)",AIO Card,1
07/14/2021 11:47:58,"(0.221, -0.134, 0.195)","(0.146, 0.181, 0.973)","(0.097, 0.144, -0.096)","(0.073, 0.332, 0.941)","(1.091, 0.935, 5.980)",Delete Button,1
07/14/2021 11:47:59,"(0.210, -0.139, 0.195)","(0.046, 0.137, 0.990)","(0.099, 0.144, -0.096)","(0.084, 0.331, 0.940)","(0.515, 0.671, 5.980)",AIO Card,2
07/14/2021 11:48:00,"(0.215, -0.136, 0.193)","(0.109, 0.173, 0.979)","(0.099, 0.143, -0.095)","(0.087, 0.325, 0.942)","(0.746, 0.819, 5.980)",Save Button,2
07/14/2021 11:48:01,"(0.206, -0.145, 0.197)","(0.025, 0.114, 0.993)","(0.100, 0.143, -0.095)","(0.091, 0.321, 0.943)","(0.338, 0.494, 5.980)",AIO Card,3
07/14/2021 11:48:02,"(0.221, -0.148, 0.201)","(0.144, 0.104, 0.984)","(0.101, 0.142, -0.094)","(0.093, 0.319, 0.943)","(1.050, 0.432, 5.980)",Delete Button,3
07/14/2021 11:48:03,"(0.202, -0.170, 0.206)","(0.012, -0.001, 1.000)","(0.101, 0.142, -0.094)","(0.093, 0.316, 0.944)","(0.267, -0.184, 5.980)",AIO Card,5
07/14/2021 11:48:04,"(0.217, -0.167, 0.208)","(0.143, 0.028, 0.989)","(0.101, 0.141, -0.093)","(0.093, 0.306, 0.947)",,,
07/14/2021 11:48:05,"(0.177, -0.069, 0.158)","(-0.156, 0.589, 0.793)","(0.081, 0.153, -0.107)","(-0.133, 0.444, 0.886)",,,
07/14/2021 11:48:06,"(0.176, -0.073, 0.165)","(-0.082, 0.435, 0.897)","(0.074, 0.153, -0.110)","(-0.192, 0.444, 0.875)",,,
07/14/2021 11:48:07,"(0.294, -0.041, 0.152)","(0.548, 0.537, 0.641)","(0.106, 0.154, -0.109)","(0.178, 0.463, 0.868)",,,
07/14/2021 11:48:08,"(0.336, -0.091, 0.195)","(0.632, 0.159, 0.758)","(0.110, 0.147, -0.101)","(0.216, 0.373, 0.902)","(5.200, 1.420, 6.007)",Others,
07/14/2021 11:48:09,"(0.216, -0.133, 0.209)","(0.025, 0.230, 0.973)","(0.105, 0.144, -0.095)","(0.155, 0.332, 0.931)","(0.335, 1.203, 5.980)",AIO Card,4
07/14/2021 11:48:10,"(0.205, -0.135, 0.206)","(-0.056, 0.220, 0.974)","(0.096, 0.144, -0.096)","(0.073, 0.345, 0.936)","(-0.187, 1.183, 5.980)",AIO Card,4
07/14/2021 11:48:11,"(0.229, -0.126, 0.208)","(0.146, 0.261, 0.954)","(0.096, 0.145, -0.097)","(0.081, 0.355, 0.931)","(1.116, 1.493, 5.980)",Delete Button,4
07/14/2021 11:48:12,"(0.199, -0.073, 0.160)","(-0.070, 0.635, 0.769)","(0.094, 0.150, -0.104)","(0.061, 0.426, 0.903)","(-0.361, 4.787, 6.000)",Others,
07/14/2021 11:48:13,"(0.203, -0.078, 0.163)","(-0.039, 0.622, 0.782)","(0.095, 0.150, -0.101)","(0.073, 0.409, 0.910)","(-0.112, 4.590, 6.000)",Others,
07/14/2021 11:48:14,"(0.199, -0.147, 0.193)","(0.017, 0.265, 0.964)","(0.093, 0.146, -0.097)","(0.063, 0.378, 0.924)","(0.242, 1.448, 5.980)",AIO Card,6
07/14/2021 11:48:15,"(0.194, -0.140, 0.192)","(-0.022, 0.307, 0.951)","(0.094, 0.147, -0.098)","(0.067, 0.381, 0.922)","(0.108, 1.716, 5.980)",AIO Card,6
07/14/2021 11:48:16,"(0.196, -0.139, 0.190)","(0.012, 0.322, 0.947)","(0.094, 0.147, -0.098)","(0.071, 0.382, 0.921)","(0.285, 1.850, 5.980)",AIO Card,6
07/14/2021 11:48:17,"(0.204, -0.142, 0.189)","(0.056, 0.316, 0.947)","(0.094, 0.146, -0.098)","(0.070, 0.380, 0.922)","(0.550, 1.798, 5.980)",AIO Card,6
07/14/2021 11:48:18,"(0.233, -0.171, 0.202)","(0.309, 0.203, 0.929)","(0.094, 0.146, -0.097)","(0.064, 0.379, 0.923)",,,
07/14/2021 11:48:19,"(0.219, -0.178, 0.205)","(0.142, 0.154, 0.978)","(0.095, 0.145, -0.096)","(0.071, 0.370, 0.927)",,,
07/14/2021 11:48:20,"(0.198, -0.173, 0.207)","(-0.006, 0.175, 0.985)","(0.096, 0.145, -0.095)","(0.073, 0.367, 0.927)","(0.422, 0.917, 5.980)",AIO Card,12
07/14/2021 11:48:21,"(0.195, -0.207, 0.216)","(0.038, -0.027, 0.999)","(0.094, 0.145, -0.095)","(0.064, 0.365, 0.929)","(0.492, -0.242, 5.980)",AIO Card,15
07/14/2021 11:48:22,"(0.228, -0.188, 0.218)","(0.264, 0.124, 0.956)","(0.092, 0.145, -0.097)","(0.053, 0.368, 0.929)",,,
07/14/2021 11:48:23,"(0.229, -0.211, 0.230)","(0.201, -0.047, 0.978)","(0.091, 0.150, -0.101)","(0.062, 0.422, 0.905)",,,
07/14/2021 11:48:24,"(0.199, -0.191, 0.215)","(-0.051, 0.202, 0.978)","(0.083, 0.136, -0.091)","(-0.043, 0.247, 0.968)","(-0.208, 0.844, 5.980)",AIO Card,16
07/14/2021 11:48:25,"(0.194, -0.203, 0.210)","(-0.028, 0.090, 0.996)","(0.081, 0.137, -0.095)","(-0.043, 0.262, 0.964)","(-0.109, 0.583, 5.980)",Others,
07/14/2021 11:48:26,"(0.159, -0.264, 0.199)","(-0.411, -0.103, 0.906)","(0.082, 0.134, -0.096)","(-0.040, 0.233, 0.972)",,,
07/14/2021 11:48:27,"(0.189, -0.044, 0.152)","(-0.113, 0.683, 0.722)","(0.085, 0.150, -0.105)","(-0.033, 0.425, 0.905)","(-0.786, 5.334, 6.000)",Others,
07/14/2021 11:48:28,"(0.190, -0.056, 0.162)","(-0.095, 0.618, 0.780)","(0.085, 0.150, -0.105)","(-0.026, 0.420, 0.907)","(-0.536, 4.562, 6.000)",Others,
07/14/2021 11:48:29,"(0.182, -0.057, 0.152)","(-0.198, 0.629, 0.752)","(0.086, 0.149, -0.102)","(-0.025, 0.411, 0.911)",,,
07/14/2021 11:48:30,"(0.103, -0.143, 0.134)","(-0.720, 0.020, 0.694)","(0.048, 0.137, -0.109)","(-0.455, 0.232, 0.860)",,,
07/14/2021 11:48:31,"(0.087, -0.154, 0.130)","(-0.722, -0.021, 0.692)","(0.050, 0.134, -0.108)","(-0.443, 0.203, 0.873)","(-6.056, -0.310, 5.980)",Deleting Spot,
07/14/2021 11:48:32,"(0.172, -0.134, 0.192)","(-0.047, 0.236, 0.971)","(0.059, 0.135, -0.105)","(-0.378, 0.215, 0.901)","(0.020, 1.406, 5.980)",AIO Card,23
07/14/2021 11:48:33,"(0.182, -0.157, 0.205)","(-0.008, 0.232, 0.973)","(0.065, 0.136, -0.103)","(-0.333, 0.223, 0.916)","(0.099, 1.332, 5.980)",AIO Card,24
07/14/2021 11:48:34,"(0.175, -0.163, 0.214)","(-0.025, 0.237, 0.971)","(0.066, 0.137, -0.103)","(-0.330, 0.232, 0.915)","(0.105, 1.264, 5.980)",AIO Card,25
07/14/2021 11:48:35,"(0.137, -0.187, 0.204)","(-0.244, 0.125, 0.962)","(0.068, 0.138, -0.103)","(-0.316, 0.244, 0.917)","(-1.086, 0.621, 5.980)",AIO Card,26
07/14/2021 11:48:36,"(0.134, -0.184, 0.197)","(-0.330, 0.184, 0.926)","(0.067, 0.139, -0.105)","(-0.324, 0.258, 0.910)","(-1.530, 0.867, 5.980)",AIO Card,27
07/14/2021 11:48:37,"(0.224, -0.179, 0.238)","(0.259, 0.152, 0.954)","(0.107, 0.142, -0.099)","(0.166, 0.315, 0.934)","(1.424, 0.806, 5.980)",AIO Card,28
07/14/2021 11:48:38,"(0.295, -0.194, 0.256)","(0.440, 0.000, 0.898)","(0.119, 0.141, -0.097)","(0.240, 0.295, 0.925)","(2.693, -0.150, 5.980)",AIO Card,29
07/14/2021 11:48:39,"(0.360, -0.205, 0.256)","(0.639, -0.015, 0.769)","(0.121, 0.141, -0.095)","(0.246, 0.292, 0.924)","(4.824, -0.292, 5.980)",Others,
07/14/2021 11:48:40,"(0.352, -0.187, 0.246)","(0.482, 0.101, 0.870)","(0.120, 0.142, -0.094)","(0.234, 0.301, 0.925)",,,
07/14/2021 11:48:41,"(0.299, -0.151, 0.242)","(0.322, 0.268, 0.908)","(0.117, 0.143, -0.098)","(0.215, 0.322, 0.922)",,,
07/14/2021 11:48:42,"(0.259, -0.213, 0.245)","(0.103, 0.037, 0.994)","(0.107, 0.140, -0.095)","(0.128, 0.285, 0.950)","(0.809, -0.208, 5.980)",Others,
07/14/2021 11:48:43,"(0.251, -0.196, 0.250)","(0.020, 0.169, 0.985)","(0.113, 0.140, -0.093)","(0.164, 0.279, 0.946)","(0.557, 0.696, 5.980)",AIO Card,33
07/14/2021 11:48:44,"(0.260, -0.182, 0.253)","(-0.027, 0.168, 0.985)","(0.109, 0.139, -0.094)","(0.183, 0.279, 0.943)","(0.019, 0.905, 5.980)",AIO Card,34
07/14/2021 11:48:45,"(0.308, -0.176, 0.269)","(0.313, 0.123, 0.942)","(0.110, 0.139, -0.094)","(0.196, 0.280, 0.940)","(1.672, 0.680, 5.980)",AIO Card,35
07/14/2021 11:48:46,"(0.378, -0.181, 0.257)","(0.633, 0.082, 0.770)","(0.114, 0.139, -0.092)","(0.209, 0.275, 0.938)","(4.501, 0.448, 5.980)",Others,
07/14/2021 11:48:47,"(0.123, -0.185, 0.177)","(-0.717, 0.155, 0.679)","(0.063, 0.143, -0.109)","(-0.416, 0.299, 0.859)","(-5.827, 1.174, 5.980)",Deleting Spot,
07/14/2021 11:48:48,"(0.189, -0.180, 0.230)","(0.016, 0.270, 0.963)","(0.067, 0.140, -0.105)","(-0.300, 0.276, 0.913)","(0.090, 1.476, 5.980)",AIO Card,39
07/14/2021 11:48:49,"(0.156, -0.196, 0.218)","(-0.239, 0.190, 0.952)","(0.071, 0.139, -0.103)","(-0.283, 0.265, 0.922)","(-0.980, 0.877, 5.980)",AIO Card,40
07/14/2021 11:48:50,"(0.095, -0.195, 0.159)","(-0.686, 0.212, 0.696)","(0.075, 0.142, -0.105)","(-0.265, 0.291, 0.919)","(-5.260, 1.487, 5.980)",Deleting Spot,
07/14/2021 11:48:51,"(0.348, -0.197, 0.245)","(0.667, 0.134, 0.733)","(0.123, 0.150, -0.102)","(0.258, 0.401, 0.879)","(5.601, 0.917, 5.980)",Saving Spot,
